カテゴリ,料理名,単位,糖質[g]
菓子類,ロカボスタイル 低糖質カップケーキミックス粉いちご味,70g（1食）,3.2
菓子類,ロカボスタイル 低糖質カップケーキミックス粉バナナ味,70g（1食）,3.4
,,,
,,,
飲料,清酒（日本酒）,180mL（1合）,8.8
飲料,ビール,350mL（1缶）,10.9
飲料,ぶどう酒・白,80mL（グラス1杯）,1.6
飲料,ぶどう酒・赤,80mL（グラス1杯）,1.2
飲料,ぶどう酒・ロゼ,80mL（グラス1杯）,3.2
飲料,焼酎,100mL,0.0
飲料,ウイスキー,20mL,0.0
飲料,ブランデー,100mL,0.0
飲料,ウォッカ,100mL,0.0
飲料,ジン,100mL,0.1
飲料,ラム,100mL,0.1
飲料,梅酒,100mL,21.5
飲料,ラカント からだやさし梅酒,100mL（1杯）,7.8
飲料,1本みりん,18g（大さじ1）,7.8
飲料,玉露,120mL（湯呑1杯）,0.0
飲料,せん茶,120mL（湯呑1杯）,0.2
飲料,ほうじ茶,120mL（湯呑1杯）,0.1
飲料,玄米茶,120mL（湯呑1杯）,0.0
飲料,ウーロン茶,120mL（湯呑1杯）,0.1
飲料,潤う羅漢果茶,190mL（1缶）,0.0
飲料,麦茶,120mL（湯呑1杯）,0.4
飲料,紅茶,180mL（ﾃｨｰｶｯﾌﾟ1杯）,0.2
飲料,コーヒー,140mL（ｺｰﾋｰｶｯﾌﾟ1杯）,1.0
飲料,ココア（純ココア）,6g（大さじ1）,1.1
,,,
,,,
調味料･香辛料,ウスターソース,18g（大さじ1）,4.7
調味料･香辛料,中濃ソース,21g（大さじ1）,6.3
調味料･香辛料,お好みソース,21g（大さじ1）,7.0
調味料･香辛料,オイスターソース,18g（大さじ1）,3.3
調味料･香辛料,こいくちしょうゆ,18g（大さじ1）,1.8
調味料･香辛料,うすくちしょうゆ,18g（大さじ1）,1.4
調味料･香辛料,1食塩,6g（小さじ1）,0.0
調味料･香辛料,穀物酢,15g（大さじ1）,0.4
調味料･香辛料,黒酢,15g（大さじ1）,1.4
調味料･香辛料,すし酢,15g（大さじ1）,5.2
調味料･香辛料,ぽん酢しょうゆ,18g（大さじ1）,1.4
調味料･香辛料,固形ブイヨン,5g（約1個）,2.1
調味料･香辛料,顆粒和風だし,9g（大さじ1）,2.8
調味料･香辛料,顆粒中華だし,9g（大さじ1）,3.3
調味料･香辛料,めんつゆ・ストレートタイプ,18g（大さじ1）,1.6
調味料･香辛料,ラカント すき焼のたれ,15mL,2.2
調味料･香辛料,トマトピューレー,15g（大さじ1）,1.2
調味料･香辛料,トマトケチャップ,15g（大さじ1）,3.8
調味料･香辛料,ミートソース,130g（1食分）,13.1
調味料･香辛料,マヨネーズ,12g（大さじ1）,0.5
調味料･香辛料,米みそ（甘みそ）,18g（大さじ1）,5.8
調味料･香辛料,麦みそ,18g（大さじ1）,4.3
調味料･香辛料,カレールウ,20g（1食分）,8.2
調味料･香辛料,ハヤシルウ,18g（1食分）,8.1
調味料･香辛料,カレー粉,6g（大さじ1）,1.6
調味料･香辛料,からし（練り）,4g（小さじ1）,1.6
調味料･香辛料,おろししょうが（チューブタイプ）,6g（小さじ1）,0.5
調味料･香辛料,おろしにんにく（チューブタイプ）,5g（小さじ1）,1.9
調味料･香辛料,練りわさび（チューブタイプ）,6g（小さじ1）,2.4
調味料･香辛料,こしょう（粉）,6g（小さじ1）,4.1
調味料･香辛料,さんしょう（粉）,6g（小さじ1）,4.2
調味料･香辛料,とうがらし（粉）,6g（小さじ1）,4.0
調味料･香辛料,ゆずこしょう,6g（小さじ1）,0.2
調味料･香辛料,トウバンジャン,18g（大さじ1）,0.6
調味料･香辛料,焼き肉のたれ,18g（大さじ1）,5.9
調味料･香辛料,ごまだれ,15g（大さじ1）,4.5
調味料･香辛料,和風ドレッシング,15g（大さじ1）,0.8
調味料･香辛料,ごまドレッシング,15g（大さじ1）,2.6
調味料･香辛料,フレンチドレッシング,15g（大さじ1）,0.9
調味料･香辛料,酒かす,100g,18.6
,,,
,,,
料理,いなり寿司,1個,30.0
料理,天むす,1個,40.0
料理,幕の内弁当,1個,90.0
料理,牛丼 並盛,1杯,108.0
料理,味噌煮込みうどん,1杯,106.0
料理,うなぎ丼 並盛,1杯,110.0
料理,山かけそば,1杯,96.0
料理,親子丼,1杯,99.0
料理,ミートソーススパゲッティ,1食,88.0
料理,太巻き寿司,1本,88.0
料理,ちらし寿司,1食,84.0
料理,栗ご飯,1杯,83.0
料理,にぎり寿司,1貫,12.0
料理,カレーライス,1食,77.0
料理,カルボナーラ,1食,77.0
料理,ラーメン,1杯,74.0
料理,ソース焼きそば,1食,72.0
料理,ちゃんぽん,1杯,70.0
料理,オムライス,1食,68.0
料理,チルドピザ,1枚,67.0
料理,たきこみご飯,1杯,65.0
料理,焼きビーフン,1食,63.0
料理,赤飯,1杯,61.0
料理,天津飯,1食,60.0
料理,五目チャーハン,1食,57.0
料理,お好み焼き,1枚,53.0
料理,きつねうどん,1杯,52.0
料理,フライドポテト Mサイズ,1個,49.0
料理,マカロニグラタン,1個,41.0
料理,野菜天ぷら,1個,35.0
料理,雑炊,1杯,34.0
料理,たこ焼き,8個,34.0
料理,春巻き,1本,11.0
料理,ハンバーガー,1個,31.0
料理,焼きぎょうざ,5個,31.0
料理,冷凍海老グラタン,1個,29.0
料理,肉じゃが,1食,30.0
料理,クリームシチュー,1食,29.0
料理,シュウマイ,5個,29.0
料理,ビーフシチュー,1食,28.0
料理,コロッケ,1個,14.0
料理,おでん,1食,27.0
料理,すき焼き,1食,25.0
料理,ホットドッグ,1本,24.0
料理,ハム卵サンドイッチ,1食,22.0
料理,酢豚,1食,15.0
料理,あじの南蛮漬け,1食,15.0
料理,かき揚げ,1個,15.0
料理,えびフライ,3本,15.0
料理,豚串カツ,2本,15.0
料理,ナゲット,6個,15.0
料理,棒々鶏,1食,15.0
料理,とんかつ,1枚,15.0
料理,マカロニサラダ,1小鉢,15.0
料理,ぶり大根,1食,15.0
料理,れんこん煮,1食,15.0
料理,里芋の煮物,1食,15.0
料理,きんぴらごぼう,1小鉢,15.0
料理,ポテトサラダ,1小鉢,15.0
料理,春雨の和え物,1小鉢,15.0
料理,イカとワケギの酢みそ和え,1小鉢,15.0
料理,切り干し大根の煮物,1小鉢,15.0
料理,フライドチキン,1個,7.5
料理,ロールキャベツ,1食,7.5
料理,あげ出し豆腐,1食,7.5
料理,ごま豆腐（たれつき）,1食,7.5
料理,寄せ鍋,1食,7.5
料理,えびのチリソース炒め,1食,7.5
料理,ハンバーグ,1食,7.5
料理,回鍋肉,1食,7.5
料理,八宝菜,1食,7.5
料理,牛肉のしゃぶしゃぶ,1食,7.5
